Date,Date,Open,High,Low,Close,Volume,K,D,Signal
1997-02-01,1997-02-01,3.25,4.41,3.21,4.04,4931524723.0,68.89251106618535,73.24934353036805,
1997-03-01,1997-03-01,4.34,5.69,4.1,5.47,6339137730.0,74.97574240033467,71.15989382691876,
1997-04-01,1997-04-01,5.73,6.99,5.47,6.58,6136686611.0,86.56726572634311,76.81183973095438,
1997-05-01,1997-05-01,6.58,7.11,5.83,6.62,4630827142.0,90.30859128201041,83.9505331362294,-1.0
1997-06-01,1997-06-01,6.62,9.1,6.54,8.33,9438986618.0,88.52402233275556,88.46662644703635,-1.0
1997-07-01,1997-07-01,8.33,15.58,7.96,15.02,7411673793.0,90.191178763356,89.67459745937397,-1.0
1997-08-01,1997-08-01,15.52,17.23,14.22,14.27,5752075835.0,85.6262926996409,88.1138312652508,
1997-09-01,1997-09-01,14.27,15.58,11.55,12.23,5488914803.0,75.36407802316477,83.72718316205386,
1997-10-01,1997-10-01,12.52,13.87,7.37,7.45,6137271894.0,46.49430382495505,69.16155818258689,
1997-11-01,1997-11-01,7.96,11.66,7.68,10.24,7520385641.0,31.253494857689986,51.03729223526991,
1997-12-01,1997-12-01,9.56,11.83,8.75,9.38,6612091216.0,19.33517641113411,32.36099169792636,
1998-01-01,1998-01-01,9.38,10.92,7.99,10.69,3562192626.0,29.977130085097162,26.855267117973728,
1998-02-01,1998-02-01,11.43,14.22,11.09,12.68,6905749218.0,46.11404445316001,31.808783649797068,
1998-03-01,1998-03-01,12.28,12.74,9.72,11.21,7819183910.0,57.31075766338347,44.46731073388019,
1998-04-01,1998-04-01,11.21,12.17,10.35,10.92,5759812425.0,59.50809364522451,54.31096525392264,
1998-05-01,1998-05-01,10.92,12.86,10.92,11.03,3122706880.0,49.93406014434775,55.584303817651886,
1998-06-01,1998-06-01,10.3,10.92,8.71,9.9,6749879939.0,39.141247151198414,49.527800313590205,
1998-07-01,1998-07-01,9.9,13.87,9.9,12.96,4372566489.0,50.91919498219041,46.66483409257884,
1998-08-01,1998-08-01,12.8,14.17,12.19,13.06,4919087990.0,61.21058898144958,50.42367703827946,
1998-09-01,1998-09-01,12.89,13.21,11.7,12.19,2724255239.0,75.25697816395491,62.46225404253162,
1998-10-01,1998-10-01,11.7,13.93,10.11,13.93,2235928229.0,79.67032967032968,72.0459656052447,
1998-11-01,1998-11-01,13.93,14.73,12.82,14.01,4125038565.0,81.47794234750755,78.80175006059737,
1998-12-01,1998-12-01,14.01,15.05,13.53,14.17,1923684479.0,87.62793270802422,82.92540157528714,
1999-01-01,1999-01-01,14.17,15.29,12.82,12.82,2382216961.0,73.1986682787598,80.76818111143051,
1999-02-01,1999-02-01,12.82,13.61,11.94,12.74,1334679704.0,61.75834596887228,74.19498231855208,
1999-03-01,1999-03-01,12.82,15.12,12.02,14.1,1791895364.0,55.855471676367195,63.6041619746664,
1999-04-01,1999-04-01,14.17,15.84,13.78,14.17,2022319023.0,57.47643329732881,58.36341698085607,
1999-05-01,1999-05-01,14.65,17.03,14.01,16.4,2219923011.0,69.75996296789187,61.03062264719593,
1999-06-01,1999-06-01,16.56,24.21,15.69,23.25,3582339275.0,78.99277202772716,68.74305609764924,
1999-07-01,1999-07-01,23.25,24.61,17.61,18.84,2495260345.0,77.98960169175301,75.58077889579066,
1999-08-01,1999-08-01,18.61,24.29,18.28,23.07,1626668382.0,77.37541845507933,78.11926405818649,
1999-09-01,1999-09-01,23.52,24.19,21.51,23.18,1078510606.0,75.48655006923258,76.95052340535496,
1999-10-01,1999-10-01,23.4,24.74,22.07,24.74,1075048284.0,90.76322467871098,81.20839773434095,-1.0
