Date,Date,Open,High,Low,Close,Volume,K_BUY,D_BUY,K_SELL,D_SELL,Signal_Buy,Signal_Sell,Signal
1998-11-01,1998-11-01,13.93,14.73,12.82,14.01,4125038565.0,84.4155844155844,80.84374641751687,67.15332589969894,64.91468259623501,,,0
1998-12-01,1998-12-01,14.01,15.05,13.53,14.17,1923684479.0,82.18623481781376,86.99373677803355,69.47105924679686,67.3260770906111,,,0
1999-01-01,1999-01-01,14.17,15.29,12.82,12.82,2382216961.0,52.316602316602335,72.97280718333347,70.44013389327104,69.02150634658894,,,0
1999-02-01,1999-02-01,12.82,13.61,11.94,12.74,1334679704.0,23.8805970149254,52.79447804978046,70.37331117883471,70.09483477296753,,,0
1999-03-01,1999-03-01,12.82,15.12,12.02,14.1,1791895364.0,64.47761194029852,46.891603757275384,71.74967725295477,70.85437410835351,,,0
1999-04-01,1999-04-01,14.17,15.84,13.78,14.17,2022319023.0,57.17948717948718,48.51256537823699,73.3092996624316,71.8107626980737,,,0
1999-05-01,1999-05-01,14.65,17.03,14.01,16.4,2219923011.0,87.62278978388994,69.75996296789184,75.985442016746,73.68147297737748,,,0
1999-06-01,1999-06-01,16.56,24.21,15.69,23.25,3582339275.0,92.12469237079573,78.97565644472424,79.33693956342795,76.21056041420188,,,0
1999-07-01,1999-07-01,23.25,24.61,17.61,18.84,2495260345.0,46.72206832871653,75.48985016113403,79.50480763886985,78.2757297396813,,,0
1999-08-01,1999-08-01,18.61,24.29,18.28,23.07,1626668382.0,85.47169811320755,74.7728196042399,81.12890383934602,79.9902170138813,,,0
1999-09-01,1999-09-01,23.52,24.19,21.51,23.18,1078510606.0,83.96860986547085,72.05412543579827,83.24563249651113,81.29311465824236,,,0
1999-10-01,1999-10-01,23.4,24.74,22.07,24.74,1075048284.0,100.0,89.81343599289276,84.96545738706773,83.11333124097497,,,0
1999-11-01,1999-11-01,24.86,29.32,23.4,25.19,1386222416.0,62.59057971014493,82.18639652520523,85.41792478567335,84.54300488975075,,,0
1999-12-01,1999-12-01,25.08,26.64,22.3,26.08,1061062582.0,58.514724711907775,73.7017681406842,86.05113304083284,85.47817173785798,,,0
2000-01-01,2000-01-01,26.08,26.08,13.15,13.88,1302935023.0,4.51453308596166,41.87327916933808,83.76729823667283,85.07878535439302,2.0,,2
2000-02-01,2000-02-01,13.99,16.05,13.65,15.94,2955564920.0,17.254174397031534,26.761144064966953,82.13650468514759,83.98497865421778,,,0
2000-03-01,2000-03-01,16.05,20.9,14.77,19.67,3537050704.0,48.332097850259466,23.366935111084178,80.90389113037955,82.26923135073335,,,0
2000-04-01,2000-04-01,19.67,19.9,15.16,16.44,1997132248.0,25.44470224284611,30.343658163378993,78.676225691332,80.57220716895307,,,0
2000-05-01,2000-05-01,16.44,16.44,13.49,15.71,1524356290.0,29.9595141700405,34.57877142104865,75.04658618108412,78.20890100093192,,,0
2000-06-01,2000-06-01,15.66,17.83,15.05,15.49,1753266651.0,26.990553306342786,27.464923239743086,71.26700121726562,74.99660436322728,,,0
2000-07-01,2000-07-01,15.77,22.98,14.99,22.7,1264604038.0,97.0495258166491,51.333197764344085,71.34859884179261,72.55406208004749,,,0
2000-08-01,2000-08-01,22.9,23.37,19.68,22.42,909235789.0,90.38461538461539,71.47489816920238,69.83828032471813,70.8179601279255,,,0
2000-09-01,2000-09-01,23.75,24.79,19.49,19.49,2032175676.0,45.918367346938766,77.7841695160677,67.41421528611117,69.53369815087403,,,0
2000-10-01,2000-10-01,16.93,18.26,13.86,15.99,2061327328.0,19.487648673376036,51.93021046831003,63.289323591594524,66.84727306747466,,,0
2000-11-01,2000-11-01,15.71,20.44,15.32,17.79,2500799425.0,35.956084172003656,33.78736673077278,60.89466683167151,63.86606856979245,,,0
2000-12-01,2000-12-01,18.17,18.17,15.51,15.9,1517644064.0,18.664226898444657,24.702653247941413,57.632892100863536,60.60562750804325,,,0
2001-01-01,2001-01-01,15.9,20.06,15.42,20.06,1415658487.0,94.22492401215801,49.61507836086874,59.300889306373335,59.27614941296952,,,0
2001-02-01,2001-02-01,19.68,19.96,18.64,19.02,1261212257.0,72.26562499999997,61.71825863686752,60.0302469466071,58.98800945128138,,,0
2001-03-01,2001-03-01,18.73,20.25,18.17,19.02,1042977024.0,74.53416149068322,80.34157016761371,59.60671442130961,59.6459502247634,,,0
2001-04-01,2001-04-01,18.92,19.49,17.98,18.26,593937788.0,58.79917184265013,68.53298611111109,59.77461957203263,59.803860313316505,,,0
2001-05-01,2001-05-01,18.26,18.92,17.79,17.98,479135438.0,7.7235772357724075,47.018970189701896,59.87455694926498,59.7519636475358,2.0,,2
2001-06-01,2001-06-01,17.98,18.07,15.71,17.12,552577791.0,31.057268722466972,32.526672600296486,59.67433940663369,59.77450530931049,,,0
2001-07-01,2001-07-01,17.14,18.62,16.29,18.4,521763275.0,71.16402116402115,36.64828904075349,57.65549066198679,59.06812900596188,,,0
2001-08-01,2001-08-01,18.75,19.55,15.26,15.26,506297180.0,0.0,34.073763295496015,54.377057107389966,57.235629058670206,2.0,,2
2001-09-01,2001-09-01,14.23,14.52,10.63,12.46,1322437975.0,20.515695067264573,30.559905410428552,50.910123978132496,54.31422391583647,,,0
2001-10-01,2001-10-01,12.46,15.09,11.66,14.63,971040175.0,44.84304932735426,21.786248131539583,49.45794657621786,51.581709220580166,,,0
2001-11-01,2001-11-01,15.09,18.29,15.04,16.58,698959663.0,66.70403587443943,44.02092675635273,48.24151791364695,49.5365294893325,,,0
2001-12-01,2001-12-01,17.09,20.24,16.81,18.29,1275153870.0,79.70863683662851,63.751907346140705,48.21729567777402,48.63892005587967,,,0
2002-01-01,2002-01-01,18.29,21.95,17.84,20.24,1542845983.0,83.38192419825072,76.59819896977285,47.584015435251224,48.01427634222412,,,0
2002-02-01,2002-02-01,20.8,21.61,17.72,18.29,538548207.0,47.03328509406657,70.0412820429819,46.516188442835016,47.43916651862014,,,0
2002-03-01,2002-03-01,18.18,19.78,17.61,18.41,928160859.0,31.128404669260725,53.84787132052597,45.392273355364665,46.497492411150354,,,0
2002-04-01,2002-04-01,18.29,18.86,16.46,17.38,542962671.0,16.757741347905252,31.639810370410814,44.21902684267729,45.37582954695905,,,0
2002-05-01,2002-05-01,17.38,19.66,16.69,17.72,743054836.0,24.466019417475696,24.117388478213854,43.491011194170575,44.367437130737564,,,0
2002-06-01,2002-06-01,17.72,18.18,15.32,15.6,581021918.0,6.278026905829581,15.833929223736808,42.27162520006859,43.32722107897221,2.0,,2
2002-07-01,2002-07-01,15.43,18.41,14.52,18.14,837416800.0,70.42801556420234,33.72402062916917,41.74589809736253,42.50284483053395,,,0
2002-08-01,2002-08-01,18.17,18.44,15.32,17.24,650219549.0,52.91828793774316,43.20811013592499,41.90012778174805,41.97255035972645,,,0
2002-09-01,2002-09-01,17.51,17.84,14.92,15.45,576656886.0,23.72448979591835,49.023597765954584,42.28420743211365,41.97674443707479,,,0
2002-10-01,2002-10-01,15.25,18.04,13.33,16.65,943409524.0,64.97064579256356,47.20447450874166,42.365007224363076,42.18311414607498,,,0
2002-11-01,2002-11-01,16.71,17.91,16.18,17.31,480643098.0,77.8864970645792,55.52721088435368,41.991797323957655,42.21367066014485,,,0
2002-12-01,2002-12-01,17.31,18.17,15.85,15.91,498650262.0,53.30578512396692,65.38764266036988,40.26019952585276,41.53900135805788,,,0
2003-01-01,2003-01-01,15.91,17.71,14.92,15.79,899873059.0,50.826446280991696,60.67290948984592,37.77499103746786,40.00899596242615,,,0
2003-02-01,2003-02-01,15.79,15.79,13.73,14.85,830574071.0,25.2252252252252,43.11915221006125,35.63250137779241,37.88923064703773,,,0
2003-03-01,2003-03-01,14.92,16.05,14.46,14.66,728817512.0,20.945945945945933,32.33253915072092,33.507318129258984,35.63827018150647,,,0
