,close,trend,trend-ah,trend-nh,trend-nl,trend-al
158,111.0,107.55,124.53,116.04,99.06,90.57
159,110.0,107.57,124.55,116.06,99.08,90.59
160,113.0,107.59,124.57,116.08,99.1,90.61
161,111.5,107.61,124.59,116.1,99.12,90.63
162,112.0,107.63,124.61,116.12,99.14,90.65
163,112.0,107.65,124.63,116.14,99.16,90.67
164,112.5,107.67,124.65,116.16,99.18,90.69
165,112.0,107.69,124.67,116.18,99.2,90.71
166,108.5,107.71,124.69,116.2,99.22,90.73
167,109.0,107.73,124.71,116.22,99.24,90.75
168,109.0,107.75,124.73,116.24,99.26,90.77
169,109.0,107.77,124.75,116.26,99.28,90.79
170,107.5,107.8,124.78,116.29,99.31,90.82
171,107.5,107.82,124.8,116.31,99.33,90.84
172,107.0,107.84,124.82,116.33,99.35,90.86
173,103.0,107.86,124.84,116.35,99.37,90.88
174,104.5,107.88,124.86,116.37,99.39,90.9
175,107.5,107.9,124.88,116.39,99.41,90.92
176,109.0,107.92,124.9,116.41,99.43,90.94
177,108.5,107.94,124.92,116.43,99.45,90.96
178,107.5,107.96,124.94,116.45,99.47,90.98
179,108.0,107.98,124.96,116.47,99.49,91.0
180,109.0,108.0,124.98,116.49,99.51,91.02
181,111.0,108.02,125.0,116.51,99.53,91.04
182,111.0,108.04,125.02,116.53,99.55,91.06
183,111.5,108.07,125.05,116.56,99.58,91.09
184,112.5,108.09,125.07,116.58,99.6,91.11
185,111.0,108.11,125.09,116.6,99.62,91.13
186,108.5,108.13,125.11,116.62,99.64,91.15
187,107.5,108.15,125.13,116.64,99.66,91.17
188,107.0,108.17,125.15,116.66,99.68,91.19
189,108.0,108.19,125.17,116.68,99.7,91.21
190,106.5,108.21,125.19,116.7,99.72,91.23
191,107.5,108.23,125.21,116.72,99.74,91.25
192,108.5,108.25,125.23,116.74,99.76,91.27
193,107.5,108.27,125.25,116.76,99.78,91.29
194,108.5,108.29,125.27,116.78,99.8,91.31
195,107.0,108.32,125.3,116.81,99.83,91.34
196,106.5,108.34,125.32,116.83,99.85,91.36
197,107.5,108.36,125.34,116.85,99.87,91.38
198,107.5,108.38,125.36,116.87,99.89,91.4
199,106.5,108.4,125.38,116.89,99.91,91.42
200,105.0,108.42,125.4,116.91,99.93,91.44
201,105.0,108.44,125.42,116.93,99.95,91.46
202,103.0,108.46,125.44,116.95,99.97,91.48
203,103.0,108.48,125.46,116.97,99.99,91.5
204,101.5,108.5,125.48,116.99,100.01,91.52
205,103.0,108.52,125.5,117.01,100.03,91.54
206,107.0,108.54,125.52,117.03,100.05,91.56
207,108.0,108.57,125.55,117.06,100.08,91.59
208,105.0,108.59,125.57,117.08,100.1,91.61
209,105.5,108.61,125.59,117.1,100.12,91.63
210,106.5,108.63,125.61,117.12,100.14,91.65
211,109.5,108.65,125.63,117.14,100.16,91.67
212,107.5,108.67,125.65,117.16,100.18,91.69
213,107.0,108.69,125.67,117.18,100.2,91.71
214,107.5,108.71,125.69,117.2,100.22,91.73
215,108.0,108.73,125.71,117.22,100.24,91.75
216,107.5,108.75,125.73,117.24,100.26,91.77
217,108.0,108.77,125.75,117.26,100.28,91.79
218,109.0,108.79,125.77,117.28,100.3,91.81
219,108.0,108.82,125.8,117.31,100.33,91.84
220,108.5,108.84,125.82,117.33,100.35,91.86
221,107.0,108.86,125.84,117.35,100.37,91.88
222,106.5,108.88,125.86,117.37,100.39,91.9
223,107.5,108.9,125.88,117.39,100.41,91.92
224,107.5,108.92,125.9,117.41,100.43,91.94
225,108.0,108.94,125.92,117.43,100.45,91.96
226,109.0,108.96,125.94,117.45,100.47,91.98
227,107.5,108.98,125.96,117.47,100.49,92.0
228,108.0,109.0,125.98,117.49,100.51,92.02
229,109.0,109.02,126.0,117.51,100.53,92.04
230,107.5,109.04,126.02,117.53,100.55,92.06
231,109.0,109.06,126.04,117.55,100.57,92.08
232,108.0,109.09,126.07,117.58,100.6,92.11
233,108.0,109.11,126.09,117.6,100.62,92.13
234,107.0,109.13,126.11,117.62,100.64,92.15
235,107.0,109.15,126.13,117.64,100.66,92.17
236,106.5,109.17,126.15,117.66,100.68,92.19
237,106.5,109.19,126.17,117.68,100.7,92.21
238,106.0,109.21,126.19,117.7,100.72,92.23
239,105.5,109.23,126.21,117.72,100.74,92.25
240,105.0,109.25,126.23,117.74,100.76,92.27
241,103.5,109.27,126.25,117.76,100.78,92.29
242,103.5,109.29,126.27,117.78,100.8,92.31
243,103.5,109.31,126.29,117.8,100.82,92.33
244,105.5,109.34,126.32,117.83,100.85,92.36
245,105.0,109.36,126.34,117.85,100.87,92.38
246,105.0,109.38,126.36,117.87,100.89,92.4
247,106.5,109.4,126.38,117.89,100.91,92.42
248,106.0,109.42,126.4,117.91,100.93,92.44
249,105.0,109.44,126.42,117.93,100.95,92.46
250,106.0,109.46,126.44,117.95,100.97,92.48
251,105.0,109.48,126.46,117.97,100.99,92.5
252,104.5,109.5,126.48,117.99,101.01,92.52
253,104.5,109.52,126.5,118.01,101.03,92.54
254,105.0,109.54,126.52,118.03,101.05,92.56
255,103.5,109.56,126.54,118.05,101.07,92.58
256,103.5,109.59,126.57,118.08,101.1,92.61
257,103.0,109.61,126.59,118.1,101.12,92.63
258,104.5,109.63,126.61,118.12,101.14,92.65
259,103.5,109.65,126.63,118.14,101.16,92.67
260,104.0,109.67,126.65,118.16,101.18,92.69
261,104.0,109.69,126.67,118.18,101.2,92.71
262,104.5,109.71,126.69,118.2,101.22,92.73
263,105.5,109.73,126.71,118.22,101.24,92.75
264,105.0,109.75,126.73,118.24,101.26,92.77
265,104.0,109.77,126.75,118.26,101.28,92.79
