,Date,Open,High,Low,Close,Volume,SMA5,EMA5,WMA5,CMA,CBI,BIAS,MACD-DIF,MACD-DEM,MACD-OSC,MTM,MTM-SMA,CMO,RSI-F,RSI-S,RSI-SM,KDJ-RSV,KDJ-K,KDJ-D,KDJ-J,KDJ-J2,ATR,OBV,OBV-SMA,BBANDS-UP,BBANDS-SMA,BBANDS-DN,CDP-AH,CDP-NH,CDP,CDP-NL,CDP-AL,LOHAS-AH,LOHAS-NH,LOHAS-T,LOHAS-NL,LOHAS-AL,LOHAS-UP,LOHAS-MD,LOHAS-DN,DC-UP,DC-MD,DC-DN
21,2020-12-30,87.76,88.34,86.9,88.34,40032714,87.8,87.56,87.97,84.54,,0.01,,,,3.76,,,69.56,71.11,78.34,77.04,72.33,70.42,66.6,76.15,1.63,20016357.0,30450584.0,89.73,87.8,85.88,88.88,87.86,87.53,86.52,86.18,121.67,113.18,104.69,96.2,87.71,88.97,85.01,81.17,89.69,84.34,78.99
22,2020-12-31,88.25,88.73,87.86,88.73,32172356,88.27,87.95,88.28,84.72,,0.01,,,,4.73,,,73.69,73.28,78.01,83.67,76.11,72.32,64.74,83.69,1.58,16086178.0,30490069.0,89.5,88.27,87.03,89.42,89.06,87.98,87.62,86.54,121.69,113.2,104.71,96.22,87.73,89.44,85.49,81.6,89.69,84.68,79.66
23,2021-01-04,90.08,96.44,89.98,96.35,232054808,89.83,90.75,90.97,85.21,,0.07,2.21,,,11.29,4.32,,94.42,90.23,79.74,99.25,83.82,76.15,60.81,99.16,2.02,116027404.0,35092960.0,97.22,89.83,82.44,89.38,89.16,88.51,88.3,87.64,121.72,113.23,104.74,96.25,87.76,90.84,86.31,81.57,96.44,88.3,80.15
24,2021-01-05,97.41,101.27,97.41,100.3,232720464,92.18,93.93,94.46,85.81,,0.09,2.93,,,15.62,5.23,,96.45,92.97,80.29,93.98,87.21,79.84,65.1,101.95,2.23,116360232.0,36830910.0,103.8,92.18,80.57,101.24,99.58,94.78,93.12,88.32,121.74,113.25,104.76,96.27,87.78,91.55,87.09,82.52,101.27,92.01,82.75
25,2021-01-06,103.68,105.12,98.37,101.27,220680394,95.0,96.38,97.49,86.41,,0.07,3.53,,,16.69,6.22,67.21,96.85,93.5,80.91,80.03,84.82,81.5,74.86,91.46,2.55,110340197.0,39395954.0,107.36,95.0,82.63,103.68,102.23,99.82,98.37,95.96,121.76,113.27,104.78,96.29,87.8,92.96,87.93,82.79,105.12,93.94,82.75
26,2021-01-07,104.16,104.16,101.75,103.2,113608177,97.97,98.65,100.23,87.03,,0.05,4.09,,,18.33,7.27,69.09,97.59,94.47,88.09,89.46,86.37,83.12,76.62,92.87,2.57,56804088.0,40543972.0,109.44,97.97,86.5,108.26,104.64,101.51,97.89,94.76,121.78,113.29,104.8,96.31,87.82,93.98,88.8,83.51,105.12,93.94,82.75
27,2021-01-08,105.12,105.61,102.23,104.16,114222138,101.06,100.49,102.29,87.64,,0.03,4.54,,,19.58,8.51,70.89,97.93,94.92,92.82,92.25,88.33,84.86,77.92,95.27,2.63,57111069.0,42049497.0,107.14,101.06,94.97,105.49,104.4,103.08,102.0,100.67,121.8,113.31,104.82,96.33,87.84,95.13,89.78,84.28,105.61,94.18,82.75
28,2021-01-11,104.16,105.12,102.71,103.68,70025114,102.52,101.55,103.17,88.19,,0.01,4.81,,,18.04,9.94,71.89,89.11,90.58,95.39,89.68,88.78,86.17,80.95,94.0,2.61,35012557.0,42271820.0,105.84,102.52,99.21,107.42,105.85,104.04,102.47,100.66,121.82,113.33,104.84,96.35,87.86,96.07,90.73,85.32,105.61,94.52,83.42
29,2021-01-12,102.71,103.2,99.34,100.3,105949230,102.52,101.13,102.42,88.6,,-0.02,4.71,,,13.89,10.94,55.4,47.21,65.61,87.52,71.62,83.06,85.13,89.27,78.92,2.73,52974615.0,43724771.0,105.84,102.52,99.21,106.21,104.88,103.8,102.48,101.39,121.84,113.35,104.86,96.37,87.88,97.27,91.52,85.75,105.61,94.52,83.42
30,2021-01-13,101.27,103.2,101.27,102.71,78943569,102.81,101.66,102.49,89.05,,-0.0,4.75,,,14.17,11.9,52.27,64.07,72.09,82.13,83.66,83.26,84.51,87.01,80.76,2.74,39471784.0,44727630.0,105.82,102.81,99.8,104.64,102.23,100.78,98.37,96.92,121.86,113.37,104.88,96.39,87.9,98.2,92.46,86.61,105.61,94.71,83.81
31,2021-01-14,105.12,112.84,104.16,111.88,316406354,104.55,105.07,105.51,89.77,,0.07,5.4,4.25,1.15,23.34,13.51,63.39,86.7,84.9,80.44,95.8,87.44,85.49,81.59,91.34,3.27,158203177.0,51473600.0,113.27,104.55,95.82,104.4,103.68,102.47,101.74,100.54,121.88,113.39,104.9,96.41,87.92,100.41,93.8,86.85,112.84,98.32,83.81
32,2021-01-15,113.8,114.77,108.98,111.39,170231060,105.99,107.17,107.79,90.42,,0.05,5.8,4.56,1.24,24.2,15.3,60.33,82.8,82.51,77.97,80.53,85.14,85.37,85.83,84.68,3.45,85115530.0,55029316.0,116.59,105.99,95.39,118.87,116.22,110.19,107.54,101.51,121.9,113.41,104.92,96.43,87.94,102.38,95.13,87.61,114.77,99.29,83.81
33,2021-01-18,111.39,111.88,107.05,109.95,94781807,107.25,108.1,109.11,91.0,,0.03,5.94,4.84,1.1,21.61,16.79,59.65,69.87,75.16,73.29,70.61,80.3,83.68,90.44,73.54,3.55,47390904.0,56707289.0,117.96,107.25,96.53,117.42,114.28,111.63,108.49,105.84,121.92,113.43,104.94,96.45,87.96,104.08,96.4,88.4,114.77,99.29,83.81
34,2021-01-19,110.91,112.36,109.95,110.91,86180045,109.37,109.04,110.33,91.56,,0.01,6.04,5.08,0.96,22.18,18.24,60.88,73.7,76.79,70.73,74.98,78.53,81.96,88.82,71.67,3.47,43090022.0,58141881.0,116.95,109.37,101.79,114.54,112.37,109.71,107.54,104.88,121.94,113.45,104.96,96.47,87.98,105.48,97.7,89.66,114.77,99.58,84.39
35,2021-01-20,112.36,114.29,109.95,110.43,132669313,110.91,109.5,110.69,92.09,,-0.0,6.01,5.27,0.74,14.08,18.48,59.03,67.67,73.92,74.13,71.87,76.31,80.08,87.62,68.77,3.53,66334656.0,59114897.0,112.44,110.91,109.39,113.44,112.12,111.03,109.7,108.62,121.97,113.48,104.99,96.5,88.01,107.03,99.0,90.75,114.77,99.96,85.16
36,2021-01-21,112.36,113.32,110.91,112.84,86888141,111.1,110.61,111.33,92.65,,0.02,6.09,5.43,0.66,12.54,18.22,63.22,79.47,78.65,76.7,87.49,80.04,80.07,80.13,79.98,3.48,43444070.0,59884989.0,113.32,111.1,108.89,115.62,112.6,111.28,108.26,106.94,121.99,113.5,105.01,96.52,88.03,108.52,100.36,91.9,114.77,100.3,85.84
37,2021-01-22,113.32,117.18,112.84,117.18,220512284,112.26,112.8,113.35,93.29,,0.04,6.4,5.62,0.78,15.91,18.16,65.69,89.31,84.59,77.14,100.0,86.69,82.28,73.46,95.51,3.54,110256142.0,64371075.0,118.18,112.26,106.34,114.89,114.04,112.48,111.64,110.07,122.01,113.52,105.03,96.54,88.05,110.43,101.89,92.88,117.18,102.04,86.9
38,2021-01-25,117.66,119.59,113.32,118.63,140354341,114.0,114.75,115.48,93.94,,0.04,6.67,5.83,0.84,15.43,17.91,67.94,91.27,86.12,78.55,94.76,89.38,84.65,75.19,98.84,3.74,70177170.0,65031105.0,121.43,114.0,106.57,120.44,119.35,116.1,115.01,111.76,122.03,113.54,105.05,96.56,88.07,112.38,103.4,93.78,119.59,103.24,86.9
39,2021-01-26,118.14,120.56,115.73,117.66,128809261,115.35,115.72,116.7,94.54,,0.02,6.73,6.01,0.72,13.5,17.41,65.07,77.91,79.86,79.89,82.32,87.03,85.44,82.26,90.21,3.82,64404630.0,66569584.0,122.42,115.35,108.28,123.81,121.76,117.54,115.49,111.27,122.05,113.56,105.07,96.58,88.09,114.32,104.85,94.77,120.56,103.73,86.9
40,2021-01-27,119.59,120.07,118.14,118.63,88077943,116.99,116.69,117.79,95.12,,0.01,6.76,6.16,0.6,14.95,17.15,65.53,81.66,81.46,81.21,85.71,86.59,85.82,84.28,88.13,3.72,44038972.0,67632988.0,121.79,116.99,112.18,122.73,120.08,117.9,115.24,113.07,122.07,113.58,105.09,96.6,88.11,115.96,106.43,96.25,120.56,103.73,86.9
41,2021-01-28,115.73,116.7,113.8,114.29,123343574,117.28,115.89,116.89,95.58,,-0.03,6.38,6.21,0.17,13.99,17.16,53.46,39.54,57.45,76.53,53.59,75.59,82.41,96.05,61.95,3.8,61671787.0,69715759.0,120.85,117.28,113.71,120.8,119.59,118.87,117.66,116.94,122.09,113.6,105.11,96.62,88.13,117.55,107.72,97.43,120.56,104.21,87.86
42,2021-01-29,114.77,115.73,107.54,107.54,180839900,115.35,113.11,113.65,95.86,,-0.07,5.51,6.07,-0.56,4.83,16.38,35.75,18.62,37.26,66.39,0.0,50.39,71.74,114.44,7.69,4.11,90419950.0,73432448.0,124.78,115.35,105.92,117.67,115.74,114.77,112.84,111.87,122.11,113.62,105.13,96.64,88.15,119.62,108.66,97.75,120.56,105.27,89.98
43,2021-02-01,107.05,110.43,104.16,108.98,125774649,113.42,111.73,111.52,96.16,,-0.04,4.87,5.83,-0.96,-2.9,14.19,36.44,29.73,42.37,56.46,29.39,43.39,62.29,100.09,5.59,4.26,62887324.0,70775444.0,123.43,113.42,103.41,117.78,111.64,109.59,103.44,101.4,122.13,113.64,105.15,96.66,88.17,120.31,109.3,98.46,120.56,108.98,97.41
44,2021-02-02,110.91,113.8,109.95,112.36,83620277,112.36,111.94,111.17,96.52,,0.0,4.56,5.57,-1.01,0.97,12.26,37.7,51.48,52.98,49.82,50.0,45.59,56.72,78.98,23.33,4.3,41810138.0,67047939.0,121.17,112.36,103.55,114.41,112.12,108.14,105.84,101.87,122.15,113.66,105.17,96.68,88.19,120.87,109.9,99.15,120.56,109.46,98.37
45,2021-02-03,113.8,114.29,110.91,112.36,56279288,111.11,112.08,111.17,96.86,,0.01,4.27,5.31,-1.04,2.41,10.66,37.7,51.48,52.98,45.42,50.0,47.06,53.5,66.38,34.18,4.23,28139644.0,62937911.0,116.63,111.11,105.58,115.97,114.29,112.12,110.44,108.27,122.17,113.68,105.19,96.7,88.21,120.94,110.45,100.13,120.56,109.95,99.34
46,2021-02-04,110.43,111.88,108.98,109.95,63941176,110.24,111.37,110.78,97.14,,-0.0,3.81,5.01,-1.2,-0.96,8.73,35.43,35.93,44.77,37.8,35.3,43.14,50.05,63.87,29.32,4.17,31970588.0,61696236.0,114.47,110.24,106.0,115.86,114.05,112.48,110.67,109.1,122.19,113.7,105.21,96.72,88.23,121.45,110.79,100.37,120.56,109.95,99.34
47,2021-02-05,110.91,112.36,108.98,109.46,87886466,110.62,110.73,110.53,97.4,,-0.01,3.36,4.68,-1.32,-0.97,7.48,33.22,33.09,43.16,36.72,32.32,39.53,46.54,60.56,25.51,4.11,43943233.0,61037845.0,113.87,110.62,107.38,113.09,111.4,110.19,108.5,107.29,122.21,113.72,105.23,96.74,88.25,121.81,111.06,100.69,120.56,109.95,99.34
48,2021-02-17,110.91,111.88,108.5,109.95,91093426,110.82,110.47,110.3,97.65,,-0.01,3.01,4.35,-1.34,-2.89,6.19,33.32,39.76,45.48,40.24,36.39,38.48,43.85,54.59,27.74,4.06,45546713.0,61564552.0,113.66,110.82,107.97,113.44,111.15,110.06,107.77,106.68,122.24,113.75,105.26,96.77,88.28,122.27,111.37,100.86,120.56,109.95,99.34
49,2021-02-18,109.46,110.43,108.98,108.98,47106193,110.14,109.97,109.69,97.88,,-0.01,2.63,4.0,-1.37,-8.2,4.18,22.15,31.15,41.52,40.48,38.44,38.47,42.06,49.24,31.29,3.87,23553096.0,60093476.0,112.75,110.14,107.53,113.45,111.64,110.07,108.26,106.69,122.26,113.77,105.28,96.79,88.3,122.33,111.8,101.63,120.56,110.92,101.27
50,2021-02-19,108.02,108.5,105.61,106.09,85959400,108.89,108.68,108.34,98.04,,-0.03,2.09,3.62,-1.53,-12.54,1.85,10.34,16.37,31.79,34.63,16.68,31.21,38.44,52.9,16.75,3.83,42979700.0,60268872.0,112.11,108.89,105.66,110.79,109.7,109.34,108.26,107.89,122.28,113.79,105.3,96.81,88.32,122.71,111.97,101.73,120.56,112.36,104.16
51,2021-02-22,107.54,109.95,107.05,107.05,60362039,108.31,108.14,107.73,98.21,,-0.01,1.71,3.24,-1.53,-10.61,-0.16,10.33,31.49,37.54,31.3,28.53,30.32,35.73,46.55,19.5,3.83,30181020.0,53867764.0,111.62,108.31,104.99,109.46,107.54,106.57,104.65,103.68,122.3,113.81,105.32,96.83,88.34,122.0,111.73,102.39,120.56,112.36,104.16
52,2021-02-23,105.61,108.5,104.64,107.54,50872508,107.92,107.94,107.47,98.39,,-0.0,1.44,2.88,-1.44,-11.09,-2.33,7.96,39.33,40.56,31.86,30.05,30.23,33.9,41.24,22.89,3.83,25436254.0,50883801.0,111.0,107.92,104.84,110.68,108.5,107.78,105.6,104.88,122.32,113.83,105.34,96.85,88.36,121.54,111.54,102.3,120.56,112.36,104.16
53,2021-02-24,108.02,109.95,106.57,106.57,54709354,107.25,107.48,107.02,98.54,,-0.01,1.13,2.53,-1.4,-7.72,-4.14,4.42,29.86,36.44,31.33,20.0,26.82,31.54,40.98,17.38,3.8,27354677.0,49881989.0,109.47,107.25,105.03,110.92,109.47,107.06,105.61,103.2,122.34,113.85,105.36,96.87,88.38,121.33,111.37,102.38,120.56,112.36,104.16
54,2021-02-25,110.91,112.36,109.95,112.36,112185849,107.92,109.11,108.73,98.79,,0.04,1.3,2.28,-0.98,4.82,-4.14,14.51,76.71,62.98,37.48,100.0,51.21,38.1,11.88,77.43,3.94,56092924.0,50532134.0,113.0,107.92,102.84,110.8,108.26,107.42,104.88,104.03,122.36,113.87,105.38,96.89,88.4,121.33,111.44,102.38,120.56,112.36,104.16
55,2021-02-26,110.43,110.91,108.02,108.02,120238472,108.31,108.75,108.76,98.96,,-0.0,1.1,2.05,-0.95,-0.96,-3.98,12.7,45.1,45.97,39.81,43.78,48.73,41.64,27.46,62.91,3.97,60119236.0,50221363.0,112.97,108.31,103.65,114.17,113.56,111.76,111.15,109.35,122.38,113.89,105.4,96.91,88.42,121.04,111.32,102.4,120.56,112.36,104.16
56,2021-03-02,110.43,110.43,108.02,108.02,53842839,108.5,108.5,108.66,99.12,,-0.0,0.94,1.83,-0.89,-4.34,-4.42,9.09,45.1,45.97,44.6,43.78,47.08,43.45,36.19,54.34,3.86,26921420.0,49395231.0,112.97,108.5,104.03,111.63,109.47,108.74,106.58,105.85,122.4,113.91,105.42,96.93,88.44,120.89,111.08,102.26,120.56,112.36,104.16
57,2021-03-03,108.98,111.88,108.02,111.39,86556063,109.27,109.47,109.63,99.33,,0.02,1.04,1.67,-0.63,-0.97,-4.7,-0.93,66.26,58.21,50.39,87.44,60.53,49.14,26.36,83.31,3.86,43278032.0,46046325.0,114.22,109.27,104.33,111.03,109.22,108.62,106.82,106.21,122.42,113.93,105.44,96.95,88.46,120.6,110.79,102.04,120.56,112.36,104.16
58,2021-03-04,111.39,111.88,108.02,110.43,79169388,110.04,109.79,110.01,99.52,,0.0,1.04,1.54,-0.5,0.48,-4.58,-1.81,57.43,54.09,53.41,75.0,65.35,54.54,32.92,86.97,3.86,39584694.0,44516702.0,113.98,110.04,106.1,114.53,113.32,110.67,109.46,106.81,122.44,113.95,105.46,96.97,88.48,120.06,110.38,101.91,120.56,112.36,104.16
59,2021-03-05,109.46,111.88,108.5,110.91,86577805,109.75,110.16,110.3,99.71,,0.01,1.06,1.45,-0.39,1.45,-4.38,1.84,61.06,55.93,58.61,81.22,70.64,59.91,38.45,92.1,3.83,43288902.0,43460915.0,112.99,109.75,106.52,114.05,112.36,110.19,108.5,106.33,122.46,113.97,105.48,96.99,88.5,119.48,110.04,101.68,120.07,112.12,104.16
60,2021-03-08,111.88,112.36,108.98,109.46,54467978,110.04,109.93,110.2,99.87,,-0.01,0.95,1.35,-0.4,-0.49,-4.18,-2.76,44.87,48.91,53.3,62.44,67.91,62.58,51.92,78.57,3.8,27233989.0,42620666.0,112.72,110.04,107.37,113.93,112.6,110.55,109.22,107.17,122.49,114.0,105.51,97.02,88.53,119.2,109.59,101.14,116.7,110.43,104.16
61,2021-03-09,108.98,110.91,108.02,110.91,43931623,110.62,110.26,110.49,100.04,,0.0,0.97,1.27,-0.3,1.93,-3.34,0.9,59.8,55.51,55.75,74.96,70.26,65.14,54.9,80.5,3.74,21965812.0,40635367.0,112.08,110.62,109.16,113.44,111.15,110.06,107.77,106.68,122.51,114.02,105.53,97.04,88.55,118.89,109.42,100.86,115.73,109.94,104.16
62,2021-03-10,111.88,112.84,110.91,111.39,47780881,110.62,110.63,110.75,100.22,,0.01,1.01,1.22,-0.21,5.3,-1.85,-2.81,64.28,57.65,58.95,69.92,70.15,66.81,60.13,76.83,3.61,23890440.0,37308892.0,112.08,110.62,109.16,113.08,112.36,110.19,109.46,107.3,122.53,114.04,105.55,97.06,88.57,118.16,109.61,101.56,114.29,109.22,104.16
63,2021-03-11,112.36,113.8,111.88,112.84,75529976,111.1,111.37,111.49,100.42,,0.02,1.13,1.2,-0.07,5.79,-0.48,-8.9,75.72,63.86,60.53,83.39,74.56,69.39,59.05,84.9,3.52,37764988.0,36052775.0,113.53,111.1,108.68,113.56,112.35,111.63,110.42,109.7,122.55,114.06,105.57,97.08,88.59,117.89,109.8,102.35,114.29,109.46,104.64
64,2021-03-12,113.32,115.73,113.32,115.73,95891682,112.07,112.82,113.03,100.66,,0.03,1.42,1.25,0.17,8.19,1.12,-5.78,87.18,73.13,65.48,100.0,83.04,73.94,55.74,101.24,3.48,47945841.0,36359560.0,116.82,112.07,107.31,114.76,113.8,112.84,111.88,110.92,122.57,114.08,105.59,97.1,88.61,117.88,109.97,102.62,115.73,110.18,104.64
65,2021-03-15,115.73,117.66,114.29,116.7,69445679,113.51,114.12,114.58,100.9,,0.03,1.71,1.34,0.37,10.13,2.61,-1.91,89.51,75.61,70.23,90.04,85.37,77.75,62.51,100.61,3.47,34722840.0,36688720.0,118.69,113.51,108.34,117.54,116.94,115.13,114.52,112.72,122.59,114.1,105.61,97.12,88.63,118.06,110.19,102.78,117.66,111.15,104.64
66,2021-03-16,117.18,119.11,116.7,118.63,93143082,115.06,115.62,116.28,101.16,,0.03,2.05,1.48,0.57,6.27,2.73,0.0,93.03,79.97,78.25,95.67,88.8,81.43,66.69,103.54,3.39,46571541.0,37418768.0,120.91,115.06,109.2,119.71,118.38,116.34,115.02,112.97,122.61,114.12,105.63,97.14,88.65,118.32,110.62,103.26,119.11,111.88,104.64
67,2021-03-17,119.11,123.45,118.63,121.52,143286602,117.08,117.59,118.43,101.46,,0.04,2.5,1.68,0.82,13.5,3.94,14.55,95.91,84.77,84.27,87.49,88.36,83.74,74.5,97.6,3.49,71643301.0,38803771.0,123.57,117.08,110.6,120.68,119.84,118.27,117.42,115.86,122.63,114.14,105.65,97.16,88.67,119.03,111.22,103.6,123.45,114.04,104.64
68,2021-03-18,123.45,126.82,123.45,124.9,138285317,119.5,120.02,121.04,101.8,,0.05,3.07,1.96,1.11,16.88,5.71,37.48,97.56,88.57,89.82,89.79,88.84,85.44,78.64,95.64,3.62,69142658.0,39983568.0,126.98,119.5,112.01,126.1,123.93,121.28,119.11,116.46,122.65,114.16,105.67,97.18,88.69,119.83,111.97,104.3,126.82,115.73,104.64
69,2021-03-19,122.48,122.48,119.11,119.11,162495850,120.17,119.72,120.91,102.05,,-0.01,3.06,2.18,0.88,7.72,6.43,19.99,49.58,58.88,85.46,58.99,78.89,83.26,92.0,70.15,3.78,81247925.0,42868310.0,126.48,120.17,113.87,128.39,126.58,125.02,123.22,121.65,122.67,114.18,105.69,97.2,88.71,120.68,112.48,104.56,126.82,115.73,104.64
70,2021-03-22,119.59,125.38,119.59,125.38,108447343,121.91,121.61,122.65,102.38,,0.03,3.47,2.44,1.03,14.95,7.63,24.31,71.12,71.22,82.79,90.95,82.91,83.14,83.6,82.45,3.96,54223672.0,43430508.0,128.21,121.91,115.6,123.32,120.8,119.95,117.42,116.58,122.69,114.2,105.71,97.22,88.73,121.83,113.44,104.97,126.82,115.73,104.64
71,2021-03-23,128.27,129.72,125.38,125.86,113002380,123.35,123.02,123.96,102.71,114.0,0.02,3.78,2.71,1.07,14.95,8.76,24.98,72.38,71.98,79.93,78.36,81.39,82.56,84.9,79.05,3.99,56501190.0,44746517.0,129.2,123.35,117.51,129.72,128.28,123.93,122.49,118.14,122.71,114.22,105.73,97.24,88.75,122.88,114.38,105.84,129.72,117.18,104.64
