,close,volume,dif,obv,obv-ma
161,111.5,21627785,-1.0,10813892.0,16179079.0
162,112.0,21197328,1.0,10598664.0,16011481.0
163,112.0,19911790,0.0,9955895.0,15914470.0
164,112.5,41254699,1.0,20627350.0,16235647.0
165,112.0,23189411,-1.0,11594706.0,16389778.0
166,108.5,42815166,-1.0,21407583.0,16548189.0
167,109.0,46678699,1.0,23339350.0,17037701.0
168,109.0,18499146,0.0,9249573.0,15933946.0
169,109.0,46504498,0.0,23252249.0,16255535.0
170,107.5,34806631,-1.0,17403316.0,16332318.0
171,107.5,0,0.0,0.0,15675641.0
172,107.0,31829261,-1.0,15914630.0,14896718.0
173,103.0,51471834,-1.0,25735917.0,14702024.0
174,104.5,30316791,1.0,15158396.0,14921905.0
175,107.5,22499882,1.0,11249941.0,14650327.0
176,109.0,17889785,1.0,8944892.0,14407908.0
177,108.5,14045849,-1.0,7022924.0,13942082.0
178,107.5,12987155,-1.0,6493578.0,13746363.0
179,108.0,13808230,1.0,6904115.0,13384556.0
180,109.0,13911174,1.0,6955587.0,13131128.0
181,111.0,30458896,1.0,15229448.0,13351906.0
182,111.0,22232171,0.0,11116086.0,13377777.0
183,111.5,29565666,1.0,14782833.0,13619124.0
184,112.5,23894007,1.0,11947004.0,13185106.0
185,111.0,18270142,-1.0,9135071.0,13062125.0
186,108.5,23133531,-1.0,11566766.0,12570084.0
187,107.5,28436166,-1.0,14218083.0,12114020.0
188,107.0,20347345,-1.0,10173672.0,12160225.0
189,108.0,13206233,1.0,6603116.0,11327769.0
190,106.5,15297618,-1.0,7648809.0,10840043.0
191,107.5,19165417,1.0,9582708.0,11319179.0
192,108.5,63262671,1.0,31631336.0,12105014.0
193,107.5,22861780,-1.0,11430890.0,11389763.0
194,108.5,38649036,1.0,19324518.0,11598069.0
195,107.0,38460147,-1.0,19230074.0,11997076.0
196,106.5,18878589,-1.0,9439294.0,12021796.0
197,107.5,15280177,1.0,7640088.0,12052654.0
198,107.5,13850268,0.0,6925134.0,12074232.0
199,106.5,22169547,-1.0,11084774.0,12283265.0
