,close,sma,std,up,dn
194,108.5,107.7,0.84,109.37,106.03
195,107.0,107.8,0.67,109.14,106.46
196,106.5,107.6,0.89,109.39,105.81
197,107.5,107.4,0.74,108.88,105.92
198,107.5,107.4,0.74,108.88,105.92
199,106.5,107.0,0.5,108.0,106.0
200,105.0,106.6,1.02,108.65,104.55
201,105.0,106.3,1.25,108.81,103.79
202,103.0,105.4,1.71,108.82,101.98
203,103.0,104.5,1.5,107.5,101.5
204,101.5,103.5,1.5,106.5,100.5
205,103.0,103.1,1.24,105.59,100.61
206,107.0,103.5,2.06,107.62,99.38
207,108.0,104.5,2.83,110.16,98.84
208,105.0,104.9,2.7,110.3,99.5
209,105.5,105.7,1.92,109.55,101.85
210,106.5,106.4,1.19,108.79,104.01
211,109.5,106.9,1.85,110.6,103.2
212,107.5,106.8,1.79,110.38,103.22
213,107.0,107.2,1.48,110.17,104.23
214,107.5,107.6,1.14,109.88,105.32
215,108.0,107.9,0.96,109.82,105.98
216,107.5,107.5,0.35,108.21,106.79
217,108.0,107.6,0.42,108.44,106.76
218,109.0,108.0,0.61,109.22,106.78
219,108.0,108.1,0.55,109.2,107.0
220,108.5,108.2,0.57,109.34,107.06
221,107.0,108.1,0.74,109.58,106.62
222,106.5,107.8,1.04,109.87,105.73
223,107.5,107.5,0.79,109.08,105.92
224,107.5,107.4,0.74,108.88,105.92
225,108.0,107.3,0.57,108.44,106.16
226,109.0,107.7,0.91,109.52,105.88
227,107.5,107.9,0.65,109.2,106.6
228,108.0,108.0,0.61,109.22,106.78
229,109.0,108.3,0.67,109.64,106.96
230,107.5,108.2,0.76,109.72,106.68
231,109.0,108.2,0.76,109.72,106.68
232,108.0,108.3,0.67,109.64,106.96
233,108.0,108.3,0.67,109.64,106.96
234,107.0,107.9,0.74,109.38,106.42
235,107.0,107.8,0.84,109.47,106.13
236,106.5,107.3,0.67,108.64,105.96
237,106.5,107.0,0.61,108.22,105.78
238,106.0,106.6,0.42,107.44,105.76
239,105.5,106.3,0.57,107.44,105.16
240,105.0,105.9,0.65,107.2,104.6
241,103.5,105.3,1.15,107.6,103.0
242,103.5,104.7,1.15,107.0,102.4
243,103.5,104.2,0.97,106.15,102.25
244,105.5,104.2,0.97,106.15,102.25
245,105.0,104.2,0.97,106.15,102.25
246,105.0,104.5,0.94,106.37,102.63
247,106.5,105.1,1.08,107.27,102.93
248,106.0,105.6,0.65,106.9,104.3
249,105.0,105.5,0.71,106.91,104.09
250,106.0,105.7,0.67,107.04,104.36
251,105.0,105.7,0.67,107.04,104.36
252,104.5,105.3,0.67,106.64,103.96
253,104.5,105.0,0.61,106.22,103.78
254,105.0,105.0,0.61,106.22,103.78
255,103.5,104.5,0.61,105.72,103.28
256,103.5,104.2,0.67,105.54,102.86
257,103.0,103.9,0.82,105.54,102.26
258,104.5,103.9,0.82,105.54,102.26
259,103.5,103.6,0.55,104.7,102.5
260,104.0,103.7,0.57,104.84,102.56
261,104.0,103.8,0.57,104.94,102.66
262,104.5,104.1,0.42,104.94,103.26
263,105.5,104.3,0.76,105.82,102.78
264,105.0,104.6,0.65,105.9,103.3
265,104.0,104.6,0.65,105.9,103.3
