,high,low,closes,cdp,ah,nh,nl,al
72,127.31,122.0,123.45,126.7,131.05,128.03,123.69,122.36
73,124.9,121.04,122.0,124.05,129.36,126.11,120.8,118.74
74,123.45,121.52,122.0,122.48,126.34,123.93,120.07,118.62
75,124.41,122.97,123.93,122.24,124.17,122.97,121.04,120.31
76,125.38,123.93,124.9,123.81,125.25,124.65,123.21,122.37
77,122.0,118.63,119.59,124.78,126.23,125.62,124.18,123.33
78,121.04,116.22,117.18,119.95,123.32,121.28,117.9,116.58
79,120.07,118.14,119.11,117.9,122.72,119.59,114.77,113.08
80,118.63,117.18,118.14,119.11,121.04,120.07,118.14,117.18
81,118.63,115.73,115.73,118.02,119.47,118.86,117.42,116.57
82,117.66,114.77,116.22,116.46,119.36,117.18,114.28,113.56
83,118.63,116.7,118.14,116.22,119.11,117.66,114.78,113.33
84,119.11,114.77,117.18,117.9,119.83,119.1,117.18,115.97
85,116.7,115.25,116.7,117.06,121.4,119.35,115.01,112.72
86,119.59,117.66,119.11,116.34,117.79,117.43,115.98,114.89
87,119.11,117.18,117.18,118.87,120.8,120.08,118.15,116.94
88,117.66,116.7,117.66,117.66,119.59,118.15,116.22,115.73
89,117.18,115.73,115.73,117.42,118.38,118.14,117.18,116.46
90,117.66,113.32,113.32,116.09,117.54,116.46,115.0,114.64
91,114.77,112.84,114.77,114.4,118.74,115.49,111.15,110.06
92,115.73,113.32,113.32,114.29,116.22,115.73,113.8,112.36
93,116.22,113.8,114.29,113.92,116.33,114.52,112.12,111.51
94,114.29,112.84,112.84,114.65,117.07,115.5,113.08,112.23
95,114.29,111.88,111.88,113.2,114.65,113.56,112.12,111.75
96,110.91,108.02,108.5,112.48,114.89,113.08,110.68,110.07
97,108.02,103.68,104.64,108.98,111.87,109.94,107.06,106.09
98,109.46,106.09,106.09,105.24,109.58,106.81,102.47,100.91
99,108.98,106.57,108.5,106.93,110.3,107.78,104.41,103.56
100,113.32,109.95,113.32,108.14,110.55,109.71,107.3,105.73
101,112.36,108.98,108.98,112.48,115.85,115.0,111.64,109.11
102,106.09,102.23,103.2,109.82,113.2,110.67,107.29,106.44
103,102.71,93.07,98.37,103.68,107.54,105.13,101.27,99.82
104,101.27,94.71,99.34,98.13,107.77,103.19,93.55,88.49
105,102.23,99.82,100.78,98.66,105.22,102.62,96.06,92.1
106,98.37,93.65,94.71,100.9,103.31,101.99,99.58,98.49
107,103.68,97.41,103.2,95.36,100.08,97.07,92.35,90.64
108,102.71,100.3,101.27,101.87,108.14,106.34,100.06,95.6
109,102.71,100.78,102.23,101.39,103.8,102.47,100.06,98.98
110,106.09,104.16,105.61,101.99,103.92,103.2,101.27,100.06
111,106.09,104.16,105.61,105.37,107.3,106.58,104.65,103.44
112,108.98,106.57,108.02,105.37,107.3,106.58,104.65,103.44
113,109.46,106.57,107.54,107.9,110.31,109.23,106.82,105.49
114,106.57,103.68,105.61,107.78,110.67,108.99,106.1,104.89
115,107.54,106.09,107.05,105.37,108.26,107.06,104.17,102.48
116,109.46,107.54,109.46,106.93,108.38,107.78,106.32,105.48
117,110.91,109.46,110.43,108.98,110.9,110.42,108.5,107.06
118,111.39,107.05,108.02,110.31,111.76,111.16,109.71,108.86
119,108.98,106.57,107.05,108.62,112.96,110.19,105.85,104.28
120,108.5,105.12,108.02,107.41,109.82,108.26,105.84,105.0
121,108.5,105.12,106.57,107.42,110.79,109.71,106.33,104.04
122,107.54,106.09,106.57,106.69,110.07,108.26,104.88,103.31
123,107.05,105.61,105.61,106.69,108.14,107.29,105.84,105.24
124,107.54,105.61,106.57,105.97,107.41,106.33,104.89,104.53
125,110.43,107.54,109.46,106.57,108.5,107.53,105.6,104.64
126,110.43,108.02,108.98,109.22,112.11,110.9,108.01,106.33
127,108.98,107.54,107.54,109.1,111.51,110.18,107.77,106.69
128,108.98,106.09,108.98,107.9,109.34,108.26,106.82,106.46
129,108.98,107.54,107.54,108.26,111.15,110.42,107.53,105.37
130,106.57,104.64,104.64,107.9,109.34,108.26,106.82,106.46
131,106.09,104.64,104.64,105.12,107.05,105.6,103.68,103.19
132,108.02,104.64,107.54,105.0,106.45,105.36,103.92,103.55
133,109.95,107.05,108.98,106.94,110.32,109.23,105.85,103.56
134,110.91,108.98,108.98,108.74,111.64,110.43,107.53,105.84
135,109.46,107.05,107.54,109.46,111.39,109.94,108.02,107.53
136,108.5,107.54,107.54,107.9,110.31,108.75,106.34,105.49
137,109.46,108.02,108.02,107.78,108.74,108.02,107.06,106.82
138,108.5,107.54,108.02,108.38,109.82,108.74,107.3,106.94
139,108.5,107.54,107.54,108.02,108.98,108.5,107.54,107.06
140,112.84,108.02,112.84,107.78,108.74,108.02,107.06,106.82
141,113.32,111.39,112.36,111.64,116.46,115.25,110.43,106.82
142,112.84,110.91,110.91,112.36,114.29,113.32,111.39,110.43
143,112.36,110.91,111.39,111.39,113.32,111.88,109.94,109.46
144,110.91,108.98,109.95,111.51,112.96,112.11,110.66,110.06
145,111.88,110.43,110.91,109.95,111.88,110.91,108.98,108.02
146,112.84,111.39,112.36,111.03,112.48,111.64,110.18,109.58
147,113.32,111.88,111.88,112.24,113.69,113.09,111.64,110.79
148,115.73,112.36,115.25,112.24,113.68,112.6,111.16,110.8
149,115.25,113.8,115.25,114.65,118.02,116.94,113.57,111.28
150,114.77,111.88,112.36,114.89,116.34,115.98,114.52,113.44
151,111.88,110.43,110.43,112.84,115.73,113.8,110.92,109.95
152,111.88,108.02,108.5,110.79,112.24,111.16,109.71,109.34
153,112.5,108.5,110.5,109.22,113.08,110.43,106.57,105.36
154,112.0,110.0,110.5,110.5,114.5,112.5,108.5,106.5
155,111.0,108.5,110.0,110.75,112.75,111.5,109.5,108.75
156,112.0,110.0,111.5,109.88,112.38,111.25,108.75,107.38
157,111.0,109.0,110.5,111.25,113.25,112.5,110.5,109.25
158,111.5,110.0,111.0,110.25,112.25,111.5,109.5,108.25
159,111.5,109.5,110.0,110.88,112.38,111.75,110.25,109.38
160,113.0,110.0,113.0,110.25,112.25,111.0,109.0,108.25
161,113.0,110.5,111.5,112.25,115.25,114.5,111.5,109.25
162,112.5,111.0,112.0,111.62,114.12,112.75,110.25,109.12
163,112.0,111.0,112.0,111.88,113.38,112.75,111.25,110.38
164,113.0,111.0,112.5,111.75,112.75,112.5,111.5,110.75
