,close,high-low,high-close,low-close,tr,atr
222,106.5,1.5,1.0,0.5,1.5,2.05
223,107.5,1.5,2.0,0.5,2.0,2.05
224,107.5,1.0,1.0,0.0,1.0,1.98
225,108.0,1.0,1.0,0.0,1.0,1.91
226,109.0,1.5,1.0,0.5,1.5,1.88
227,107.5,1.0,1.0,2.0,2.0,1.89
228,108.0,1.0,0.5,0.5,1.0,1.83
229,109.0,2.0,1.5,0.5,2.0,1.84
230,107.5,1.5,0.0,1.5,1.5,1.82
231,109.0,1.5,2.0,0.5,2.0,1.83
232,108.0,2.0,1.0,1.0,2.0,1.84
233,108.0,1.0,1.0,0.0,1.0,1.78
234,107.0,2.0,0.5,1.5,2.0,1.8
235,107.0,1.0,0.5,0.5,1.0,1.74
236,106.5,1.5,1.0,0.5,1.5,1.72
237,106.5,1.0,1.0,0.0,1.0,1.67
238,106.0,1.0,0.5,0.5,1.0,1.62
239,105.5,2.0,0.5,1.5,2.0,1.65
240,105.0,1.5,1.0,0.5,1.5,1.64
241,103.5,1.5,0.0,1.5,1.5,1.63
242,103.5,3.0,2.0,1.0,3.0,1.73
243,103.5,2.5,2.0,0.5,2.5,1.78
244,105.5,2.5,2.5,0.0,2.5,1.83
245,105.0,2.0,1.5,0.5,2.0,1.84
246,105.0,1.0,1.0,0.0,1.0,1.78
247,106.5,2.0,2.0,0.0,2.0,1.8
248,106.0,2.5,1.0,1.5,2.5,1.85
249,105.0,2.0,1.0,1.0,2.0,1.86
250,106.0,1.0,1.0,0.0,1.0,1.8
251,105.0,1.5,0.0,1.5,1.5,1.78
252,104.5,1.5,1.0,0.5,1.5,1.76
253,104.5,1.5,1.0,0.5,1.5,1.74
254,105.0,1.5,0.5,1.0,1.5,1.72
255,103.5,2.5,1.0,1.5,2.5,1.78
256,103.5,1.0,0.5,0.5,1.0,1.72
257,103.0,1.0,0.5,0.5,1.0,1.67
258,104.5,1.5,1.5,0.0,1.5,1.66
259,103.5,1.0,0.0,1.0,1.0,1.61
260,104.0,1.0,1.0,0.0,1.0,1.57
261,104.0,1.0,1.0,0.0,1.0,1.53
262,104.5,1.0,1.0,0.0,1.0,1.49
263,105.5,1.0,1.0,0.0,1.0,1.46
264,105.0,1.0,0.0,1.0,1.0,1.43
265,104.0,1.0,0.0,1.0,1.0,1.4
