,high,low,close,up,dn,md
234,108.5,106.5,107.0,110.0,106.5,108.25
235,107.5,106.5,107.0,110.0,106.5,108.25
236,108.0,106.5,106.5,110.0,106.5,108.25
237,107.5,106.5,106.5,110.0,106.5,108.25
238,107.0,106.0,106.0,110.0,106.0,108.0
239,106.5,104.5,105.5,110.0,104.5,107.25
240,106.5,105.0,105.0,110.0,104.5,107.25
241,105.0,103.5,103.5,110.0,103.5,106.75
242,105.5,102.5,103.5,110.0,102.5,106.25
243,105.5,103.0,103.5,110.0,102.5,106.25
244,106.0,103.5,105.5,110.0,102.5,106.25
245,107.0,105.0,105.0,110.0,102.5,106.25
246,106.0,105.0,105.0,110.0,102.5,106.25
247,107.0,105.0,106.5,110.0,102.5,106.25
248,107.5,105.0,106.0,110.0,102.5,106.25
249,107.0,105.0,105.0,110.0,102.5,106.25
250,106.0,105.0,106.0,110.0,102.5,106.25
251,106.0,104.5,105.0,110.0,102.5,106.25
252,106.0,104.5,104.5,109.0,102.5,105.75
253,105.5,104.0,104.5,108.5,102.5,105.5
254,105.0,103.5,105.0,108.0,102.5,105.25
255,106.0,103.5,103.5,108.0,102.5,105.25
256,104.0,103.0,103.5,107.5,102.5,105.0
257,104.0,103.0,103.0,107.5,102.5,105.0
258,104.5,103.0,104.5,107.5,102.5,105.0
259,104.5,103.5,103.5,107.5,102.5,105.0
260,104.5,103.5,104.0,107.5,102.5,105.0
261,105.0,104.0,104.0,107.5,102.5,105.0
262,105.0,104.0,104.5,107.5,103.0,105.25
263,105.5,104.5,105.5,107.5,103.0,105.25
264,105.5,104.5,105.0,107.5,103.0,105.25
265,105.0,104.0,104.0,107.5,103.0,105.25
